[5/1/25, 4:07:09 p.m.] Rafa M: ‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them.
[5/1/25, 4:07:09 p.m.] edu: www.oldbooksbonn.com
[21/1/25, 8:13:57 p.m.] Rafa M: Pero mis apas me dijeron que hoy empezabas, que rollotl
[21/1/25, 8:16:46 p.m.] Rafa M: Bueno esta semana
[21/1/25, 9:49:06 p.m.] edu: aba pero ajora mañana
[21/1/25, 9:59:44 p.m.] Rafa M: Aba pero ajora mañana?
[21/1/25, 10:00:00 p.m.] Rafa M: O sea si empezabas este lunes? Y pk no fuiste edu?
[21/1/25, 10:04:20 p.m.] edu: voy a apagar el cel ando con la chica que me gusta en cuu en la fiesta de odonto de beto
[21/1/25, 10:04:22 p.m.] edu: nos vemos
[21/1/25, 10:05:14 p.m.] Rafa M: Ok, exitoo Edu
[21/1/25, 10:05:18 p.m.] Rafa M: Disfruta
[25/1/25, 6:08:59 p.m.] edu: broo como andas
[25/1/25, 7:04:49 p.m.] Rafa M: Bien y tu mi Edu, con la pata bionica
[25/1/25, 7:04:51 p.m.] edu: en una semana te sentiras mejor
[25/1/25, 7:04:52 p.m.] Rafa M: Lavando ropa
[25/1/25, 7:05:00 p.m.] Rafa M: Y dejando todo ordenado
[25/1/25, 7:05:18 p.m.] Rafa M: Ojala pk el viernes nos vamos a oaxaca
[25/1/25, 7:05:24 p.m.] Rafa M: No quiero irme con la pata bionica
[25/1/25, 7:06:16 p.m.] edu: no loko tampoco es tan milagroso
[25/1/25, 7:06:18 p.m.] edu: es poco a poco
[25/1/25, 7:06:40 p.m.] edu: y te dira toda la vida
[25/1/25, 7:07:00 p.m.] edu: es peor que romperse un hueso
[25/1/25, 7:07:06 p.m.] edu: toca hacer mucho ejercicio
[25/1/25, 7:09:46 p.m.] Rafa M: Neta?
[25/1/25, 7:10:00 p.m.] Rafa M: Te acuerdas de la foto donde estoy en silla deruedas?
[25/1/25, 7:10:13 p.m.] Rafa M: Y tu andas con un carton jugando
[25/1/25, 7:10:24 p.m.] Rafa M: Esa temporada me lo esguince tmb
[25/1/25, 7:37:59 p.m.] edu: poooh prnse que era un hueso
[25/1/25, 8:10:10 p.m.] Rafa M: Nombreee una ruptura de hueso en pie requiere operacion
‎[26/1/25, 1:03:45 p.m.] Rafa M: ‎<attached: 00000121-PHOTO-2025-01-26-13-03-45.jpg>
[26/1/25, 1:37:38 p.m.] edu: jajajaja cool
[26/1/25, 1:37:44 p.m.] edu: como sigues
[26/1/25, 2:17:09 p.m.] Rafa M: Bien mi Edu, todo tranqui, ustedes como van? Que hacen?
[26/1/25, 2:17:13 p.m.] Rafa M: Ya desayunaron?
[26/1/25, 2:17:18 p.m.] Rafa M: Que hiciste el fin?
