[30/1/25, 4:03:55 p.m.] ~🦚: ‎Messages and calls are end-to-end encrypted. Only people in this chat can read, listen to, or share them.
[30/1/25, 4:03:55 p.m.] ~🦚: ‎‎‎You use a default timer for disappearing messages in new chats. ‎New messages will disappear from this chat ‎7 days after they're sent, except when kept. ‎Tap to update your own default timer.
[30/1/25, 4:03:55 p.m.] ~🦚:
[6/2/25, 3:37:30 p.m.] ~🦚: Según  tu hoy me ibas a sonsa se a hacer ejercicio
[6/2/25, 3:37:33 p.m.] ~🦚: Y hola
‎[6/2/25, 3:37:38 p.m.] ~🦚: ‎<attached: 00000266-STICKER-2025-02-06-15-37-38.webp>
[6/2/25, 6:19:51 p.m.] e: woulaa
[6/2/25, 6:19:55 p.m.] e: sii eso si que si
[6/2/25, 6:20:00 p.m.] e: pero no tengo carro
[6/2/25, 6:20:13 p.m.] e: como le vas a hacer pa venir? 😁
[6/2/25, 6:23:53 p.m.] ~🦚: Mmm
[6/2/25, 6:24:04 p.m.] ~🦚: Buena pregunta
[6/2/25, 6:24:08 p.m.] ~🦚: Volar no se, entonces creo que así no será ‎<This message was edited>
[6/2/25, 6:53:51 p.m.] e: :c
[6/2/25, 6:53:55 p.m.] e: como le hacemos
[6/2/25, 6:54:29 p.m.] ~🦚: Primero que nada
[6/2/25, 6:54:35 p.m.] ~🦚: Que tienes ganas de hacer?
[6/2/25, 6:54:48 p.m.] e: ejercico
[6/2/25, 6:54:47 p.m.] ~🦚: Como que ya es tarde para el ejercicio
‎[6/2/25, 6:54:51 p.m.] ~🦚: ‎<attached: 00000280-STICKER-2025-02-06-18-54-51.webp>
[6/2/25, 6:54:52 p.m.] ~🦚: Jaja
[6/2/25, 6:54:54 p.m.] e: y luego vemos queloque
[6/2/25, 6:55:01 p.m.] e: porque tardee?
[6/2/25, 6:55:05 p.m.] e: siempre es buena hora
[6/2/25, 6:55:17 p.m.] ~🦚: Es que el outfit de hacer ejercicio no es el mismo de queloque
[6/2/25, 6:55:30 p.m.] ~🦚: Por qué está obscureciendo y yo soy como un oso
[6/2/25, 6:55:35 p.m.] ~🦚: Veo que es noche y me da flojera
‎[6/2/25, 6:55:38 p.m.] ~🦚: ‎<attached: 00000288-STICKER-2025-02-06-18-55-38.webp>
[6/2/25, 6:56:58 p.m.] e: sii qie tiene
[6/2/25, 6:57:02 p.m.] e: o traete un cambio xd
[6/2/25, 6:57:18 p.m.] ~🦚: Jaja y donde me arreglo
[6/2/25, 6:57:25 p.m.] ~🦚: Y luego sudada
[6/2/25, 6:57:30 p.m.] ~🦚: Estás bien loquillo
[6/2/25, 6:58:00 p.m.] e: ps a donde quieres ir
[6/2/25, 6:58:02 p.m.] e: vamos al palmas
[6/2/25, 6:58:07 p.m.] e: asi con outfit deportivo
[6/2/25, 6:58:15 p.m.] e: o klk
[6/2/25, 6:58:19 p.m.] ~🦚: Jajaja
[6/2/25, 6:58:21 p.m.] e: tu que queires hacer
[6/2/25, 6:58:21 p.m.] ~🦚: Noooo
[6/2/25, 6:58:27 p.m.] ~🦚: A mi me gusta ir arreglada
[6/2/25, 6:58:30 p.m.] ~🦚: Oyeme
[6/2/25, 6:58:42 p.m.] ~🦚: No es que no tenga el valor para ir así deportiva
[6/2/25, 6:58:50 p.m.] ~🦚: Pero para empezar quien sabe si nos dejen pasar así
‎[6/2/25, 7:27:18 p.m.] ~🦚: ‎image omitted
[7/2/25, 11:41:19 a.m.] e: es mas flow y mas estilo
[7/2/25, 11:41:20 a.m.] e: olaa
[7/2/25, 11:41:25 a.m.] e: me quede de chill en casa
[7/2/25, 11:41:45 a.m.] e: oralee como te salio
[7/2/25, 11:42:38 a.m.] e: mañana lokeamos si quieres
[7/2/25, 1:14:10 p.m.] ~🦚: Hola
[7/2/25, 1:14:21 p.m.] ~🦚: Me parece razonable
[7/2/25, 1:14:28 p.m.] ~🦚: Cual es el plan?
‎[7/2/25, 1:23:36 p.m.] ~🦚: ‎<attached: 00000314-AUDIO-2025-02-07-13-23-36.opus>
[7/2/25, 3:58:34 p.m.] e: chalees
[7/2/25, 3:58:54 p.m.] e: salir con un primo
[7/2/25, 8:06:43 p.m.] ~🦚: Okey
[7/2/25, 8:06:49 p.m.] ~🦚: Me avisas a qué horas
[8/2/25, 5:21:33 p.m.] ~🦚: Hey
[8/2/25, 7:35:55 p.m.] e: oiii
[8/2/25, 7:35:57 p.m.] e: que onda
[8/2/25, 7:36:15 p.m.] e: que haces
[8/2/25, 7:37:10 p.m.] ~🦚: Cenando y tu?
[8/2/25, 7:37:21 p.m.] e: me voy a bañar
[8/2/25, 7:37:22 p.m.] e: que plan
[8/2/25, 7:37:32 p.m.] e: caele a deli
[8/2/25, 7:38:20 p.m.] ~🦚: Dime
[8/2/25, 7:38:23 p.m.] ~🦚: Tu me dijiste de algo
[8/2/25, 7:38:28 p.m.] ~🦚: Pero ya no me dijiste nada bien
[8/2/25, 7:45:13 p.m.] ~🦚: A qué hora y a donde?
‎[8/2/25, 8:54:54 p.m.] ~🦚: ‎<attached: 00000331-STICKER-2025-02-08-20-54-54.webp>
[8/2/25, 8:58:15 p.m.] e: ps no hay plan
[8/2/25, 8:58:18 p.m.] e: acabo de terminar de cenar
[8/2/25, 8:58:29 p.m.] e: vienen unos amigues
[8/2/25, 8:58:43 p.m.] e: carle
[8/2/25, 9:03:42 p.m.] ~🦚: Esta bien
[8/2/25, 9:03:45 p.m.] ~🦚: Divierte
[8/2/25, 9:10:25 p.m.] e: no vienes?
[8/2/25, 9:10:27 p.m.] e: veen
[8/2/25, 9:12:02 p.m.] ~🦚: No creo
[8/2/25, 9:12:14 p.m.] ~🦚: Quizás tenga como ir pero para regresarme no se
[8/2/25, 9:13:09 p.m.] ~🦚: Aparte no creo que sea una buena idea que yo vaya
[8/2/25, 9:24:24 p.m.] ~🦚: Pásame tu dirección
[8/2/25, 9:24:33 p.m.] ~🦚: Iré solo un pequeño rato
[8/2/25, 9:24:40 p.m.] ~🦚: Ocupas que lleve algo?
[8/2/25, 9:31:03 p.m.] e: nomas tu carita bella
[8/2/25, 9:31:08 p.m.] e: estanos en la 19
[8/2/25, 9:31:13 p.m.] e: ‎Location: https://maps.google.com/?q=28.193943,-105.463493
[8/2/25, 9:31:31 p.m.] ~🦚: Van a durar algo ahí?
[8/2/25, 9:32:31 p.m.] e: sii
[8/2/25, 9:32:36 p.m.] e: y luego a mi canton
[8/2/25, 9:32:47 p.m.] ~🦚: Cuando vaya en camino te marco
[8/2/25, 9:35:19 p.m.] e: si estare al pendiente
[8/2/25, 10:03:15 p.m.] ~🦚: Hey
[8/2/25, 10:03:29 p.m.] e: olaa
[8/2/25, 10:03:31 p.m.] e: te pense
[8/2/25, 10:03:33 p.m.] e: ya estas?
[8/2/25, 10:03:44 p.m.] ~🦚: Ya voy en camino
[8/2/25, 10:03:57 p.m.] e: valee
[8/2/25, 10:04:03 p.m.] ~🦚: Cuando este afuerita sales por mi
‎[8/2/25, 10:04:36 p.m.] ~🦚: ‎<attached: 00000361-STICKER-2025-02-08-22-04-36.webp>
[8/2/25, 10:04:42 p.m.] e: sip
‎[8/2/25, 10:05:09 p.m.] ~🦚: ‎<attached: 00000363-STICKER-2025-02-08-22-05-09.webp>
[8/2/25, 10:16:01 p.m.] ~🦚: Ya llegues
[8/2/25, 10:16:15 p.m.] ~🦚: Hay una fila súper larga
[8/2/25, 10:16:57 p.m.] ~🦚: No me deja marcarte
‎[8/2/25, 10:17:04 p.m.] ~🦚: ‎<attached: 00000367-STICKER-2025-02-08-22-17-04.webp>
[8/2/25, 10:18:28 p.m.] e: sii salteatela
[8/2/25, 10:18:36 p.m.] ~🦚: Ontas tu
[8/2/25, 10:18:39 p.m.] e: estamos luego luego entrando
[8/2/25, 10:18:48 p.m.] ~🦚: No manches sal por mi
[8/2/25, 10:18:53 p.m.] ~🦚: Que oso entrar sola
[8/2/25, 11:15:46 p.m.] ~🦚: No pues bay
‎[9/2/25, 3:20:38 p.m.] ~🦚: ‎<attached: 00000374-VIDEO-2025-02-09-15-20-38.mp4>
[13/2/25, 8:31:25 p.m.] e: olaa
[13/2/25, 8:31:51 p.m.] e: me pasas tu sticker del monito con el sarten? jajaja
[17/2/25, 2:05:22 p.m.] ~🦚: ‎Voice call, ‎32 sec
[17/2/25, 2:06:15 p.m.] ~🦚: Pero en fa
‎[17/2/25, 2:06:18 p.m.] ~🦚: ‎<attached: 00000379-STICKER-2025-02-17-14-06-18.webp>
[17/2/25, 2:06:23 p.m.] ~🦚: Y te paso el sticker
[17/2/25, 2:07:33 p.m.] e: no me contestoo
[17/2/25, 2:07:46 p.m.] ~🦚: Pero pásame su número
[17/2/25, 2:07:48 p.m.] ~🦚: No es para mi
[17/2/25, 2:08:01 p.m.] ~🦚: Es para una chica d enombre Naira que es la que tiene el problema
[17/2/25, 2:08:12 p.m.] ~🦚: De echo ya le había dicho el otro día
[17/2/25, 2:08:16 p.m.] ~🦚: Y me dijo unas cosas
‎[17/2/25, 2:09:33 p.m.] e: ‎<attached: 00000387-vic g.vcf>
[17/2/25, 2:09:45 p.m.] ~🦚: Gracias
[17/2/25, 2:11:07 p.m.] ~🦚: No
‎[17/2/25, 6:35:26 p.m.] ~🦚: ‎video omitted
[19/2/25, 7:01:46 p.m.] e: gpi
[19/2/25, 7:16:20 p.m.] ~🦚: ‎Missed voice call, ‎Tap to call back
[19/2/25, 7:21:43 p.m.] ~🦚: Este fin voy a ir a mi casa
[19/2/25, 7:21:48 p.m.] ~🦚: Cuando te vas?
[20/2/25, 3:33:40 p.m.] e: olaa
[20/2/25, 3:33:43 p.m.] e: voy a estar en cuu
[20/2/25, 3:33:52 p.m.] e: hasta cuando te quedas
[20/2/25, 3:35:37 p.m.] ~🦚: Domingo por la mañana
[25/2/25, 10:53:28 a.m.] e: olaa
[25/2/25, 10:53:46 a.m.] e: cuando lokeamos
[25/2/25, 2:33:39 p.m.] ~🦚: A ver cuando
[28/2/25, 12:08:17 p.m.] ~🦚: Hey hey
[28/2/25, 12:08:39 p.m.] ~🦚: Vamos  al palmas hoy
[28/2/25, 12:22:37 p.m.] e: hii
[28/2/25, 12:22:42 p.m.] e: ando fuera
[4/3/25, 8:53:15 a.m.] e: olaa
[4/3/25, 8:53:29 a.m.] e: por donde andas
[4/3/25, 12:46:04 p.m.] ~🦚: En Saucillo
[4/3/25, 5:53:54 p.m.] e: raios
[4/3/25, 5:54:01 p.m.] e: queria verte
[4/3/25, 7:46:09 p.m.] ~🦚: Nimodo
[4/3/25, 7:46:14 p.m.] ~🦚: Chance el fin ande en Meoqui
[4/3/25, 9:10:15 p.m.] e: yoo en cuu
[4/3/25, 9:10:21 p.m.] e: cuando estes en meoqui entre semana me avisas
[11/3/25, 10:17:09 p.m.] ~🦚: Ey
[12/3/25, 10:03:36 a.m.] ~🦚: Hoy andare un rato por delicias
[12/3/25, 12:46:41 p.m.] e: fckkk que mala suerte
[12/3/25, 12:46:59 p.m.] e: estoy en carretera
[28/3/25, 2:00:33 p.m.] ~🦚: Hey hey
[28/3/25, 2:00:39 p.m.] ~🦚: Hay que ir por una caguama por tu cumple
[28/3/25, 2:01:27 p.m.] e: heey de una
[28/3/25, 2:01:39 p.m.] e: ahora mismo
[28/3/25, 2:02:49 p.m.] ~🦚: Va entonces
[28/3/25, 2:02:52 p.m.] ~🦚: Deja llego a delicias
[28/3/25, 2:03:03 p.m.] ~🦚: Voy apenas a agarras camino para haya
[28/3/25, 2:03:17 p.m.] ~🦚: Nomas estoy alistando mi maleta
[28/3/25, 2:03:22 p.m.] ~🦚: No hay rollo que llegue así?
[28/3/25, 2:03:23 p.m.] ~🦚: Jajaj
[28/3/25, 2:05:47 p.m.] e: noo que tiene
‎[28/3/25, 2:10:11 p.m.] ~🦚: ‎<attached: 00000430-AUDIO-2025-03-28-14-10-11.opus>
[28/3/25, 2:13:52 p.m.] e: voy a estar en el parque extremo
‎[28/3/25, 2:14:13 p.m.] ~🦚: ‎<attached: 00000432-AUDIO-2025-03-28-14-14-13.opus>
[28/3/25, 2:50:27 p.m.] ~🦚: Ey ey
[28/3/25, 2:51:10 p.m.] ~🦚: Ya vengo por por el puente de cielo vista ‎<This message was edited>
[28/3/25, 2:51:35 p.m.] e: apenas voy para el parque extremo
[28/3/25, 2:51:54 p.m.] ~🦚: Entonces no se arma?
[28/3/25, 2:52:07 p.m.] ~🦚: Para irme a mi casa
[28/3/25, 2:59:04 p.m.] e: sii
[28/3/25, 2:59:08 p.m.] e: te voy ahi
[28/3/25, 2:59:10 p.m.] e: vaa?
[28/3/25, 2:59:15 p.m.] ~🦚: Jajaj Nmms
[28/3/25, 2:59:18 p.m.] ~🦚: Estoy en el centro
[28/3/25, 2:59:20 p.m.] e: mmm
[28/3/25, 2:59:21 p.m.] ~🦚: Vengo en el camión
[28/3/25, 2:59:23 p.m.] e: pues ven a mi casa
[28/3/25, 2:59:24 p.m.] e: aaah
[28/3/25, 2:59:26 p.m.] e: okaay
[28/3/25, 2:59:28 p.m.] ~🦚: Na
[28/3/25, 2:59:29 p.m.] e: deja paso por ti
[28/3/25, 2:59:33 p.m.] e: me hubiras dicho
[28/3/25, 2:59:35 p.m.] ~🦚: Así si
[28/3/25, 2:59:50 p.m.] ~🦚: En cuanto?
[28/3/25, 2:59:51 p.m.] e: manda la ubi
[28/3/25, 3:00:14 p.m.] ~🦚: ‎Location: https://maps.google.com/?q=28.198011,-105.475662
[28/3/25, 3:00:47 p.m.] ~🦚: Estoy en la tienda china
[28/3/25, 3:02:24 p.m.] e: ay llego corazón
[28/3/25, 3:03:38 p.m.] ~🦚: Okey
[28/3/25, 3:08:38 p.m.] e: pntas
[28/3/25, 3:08:53 p.m.] ~🦚: Dentro de la tienda
[28/3/25, 3:09:01 p.m.] ~🦚: Ahí salgo
[28/3/25, 3:09:13 p.m.] e: ‎Location: https://maps.google.com/?q=28.197659,-105.476440
[28/3/25, 3:09:28 p.m.] e: dalee
[28/3/25, 3:09:52 p.m.] ~🦚: A donde
[28/3/25, 3:10:00 p.m.] ~🦚: Derecha o izquierda
[28/3/25, 3:10:51 p.m.] e: te mande ubi
[28/3/25, 3:10:53 p.m.] e: estas por la leyes
[28/3/25, 3:10:55 p.m.] e: ‎Voice call, ‎23 sec
[28/3/25, 3:10:55 p.m.] ~🦚: ‎Location: https://maps.google.com/?q=28.198208,-105.477364
[28/3/25, 6:38:34 p.m.] ~🦚: Hey
[28/3/25, 6:39:10 p.m.] e: que onda
[28/3/25, 6:39:37 p.m.] ~🦚: Que haces?
[28/3/25, 6:42:32 p.m.] e: chillin
[28/3/25, 6:42:35 p.m.] e: y tu
[28/3/25, 6:42:49 p.m.] ~🦚: Chillin?
[28/3/25, 6:47:45 p.m.] e: relajando el pony
[28/3/25, 6:59:51 p.m.] e: tuu?
[28/3/25, 7:01:09 p.m.] ~🦚: No entender Jajaj
[28/3/25, 7:01:20 p.m.] ~🦚: Acabo de alegar con mi abuela
[28/3/25, 7:01:30 p.m.] e: oooh pense que ya querias hacer algo
[28/3/25, 7:05:04 p.m.] ~🦚: Pues Nose
[28/3/25, 7:06:24 p.m.] ~🦚: Que idea
[28/3/25, 7:06:34 p.m.] e: hacer ejercicio
‎[28/3/25, 7:57:30 p.m.] ~🦚: ‎<attached: 00000483-AUDIO-2025-03-28-19-57-30.opus>
[28/3/25, 8:35:23 p.m.] e: no estan
[28/3/25, 8:35:26 p.m.] e: saca un plan para bailar
[28/3/25, 8:38:15 p.m.] ~🦚: Bailar?
[28/3/25, 8:38:21 p.m.] ~🦚: Al palmas nomas
[28/3/25, 8:39:00 p.m.] e: jajaja pues si quieres pero cobran cover
[28/3/25, 8:39:40 p.m.] ~🦚: Pues no se a donde más puedas ir a bailar
[28/3/25, 8:39:42 p.m.] ~🦚: Al 124
[28/3/25, 8:39:45 p.m.] ~🦚: 123
‎[28/3/25, 8:40:22 p.m.] ~🦚: ‎<attached: 00000492-PHOTO-2025-03-28-20-40-22.jpg>
[28/3/25, 8:40:29 p.m.] ~🦚: Pero bailar que?
[28/3/25, 8:42:12 p.m.] e: sii lo que sea
[28/3/25, 8:42:17 p.m.] e: a que hora llegaran?
[28/3/25, 8:44:14 p.m.] ~🦚: Nose
[28/3/25, 8:44:15 p.m.] e: compramos algo antes
[28/3/25, 8:44:20 p.m.] ~🦚: Obvio uno llega antes
[28/3/25, 8:44:23 p.m.] ~🦚: Pero es un bar
[28/3/25, 8:44:32 p.m.] e: digo porque no puedo gastar mucho
[28/3/25, 8:44:41 p.m.] e: llegar nomas a bailar
[28/3/25, 8:44:46 p.m.] ~🦚: Jajaja
[28/3/25, 8:44:47 p.m.] e: oye y en el texmex ys no se baila
[28/3/25, 8:45:09 p.m.] ~🦚: No se la verdad
[28/3/25, 8:45:18 p.m.] ~🦚: Si hacen bailes pero no se si todos los fines
‎[28/3/25, 8:46:06 p.m.] ~🦚: ‎<attached: 00000506-PHOTO-2025-03-28-20-46-06.jpg>
[28/3/25, 8:46:20 p.m.] e: uy
[28/3/25, 8:46:27 p.m.] e: estaria bueno
[28/3/25, 8:46:44 p.m.] ~🦚: Deja ver si me puedo escapar Jajaj
[28/3/25, 8:47:00 p.m.] e: sii un ratito leve nada mas
[28/3/25, 8:48:43 p.m.] ~🦚: Podría ahorita salirme como a las 9:30
[28/3/25, 8:49:29 p.m.] ~🦚: O 10
[28/3/25, 8:55:26 p.m.] e: vaaa si quieres tu pido un uber
[28/3/25, 9:05:10 p.m.] e: ‎Voice call, ‎48 sec
[28/3/25, 9:06:39 p.m.] ~🦚: ‎Location: https://maps.google.com/?q=28.186096,-105.488998
[28/3/25, 9:23:46 p.m.] e: voy saliendo
[28/3/25, 9:28:37 p.m.] e: llego en 3
[28/3/25, 9:28:52 p.m.] ~🦚: Ok
[28/3/25, 9:29:57 p.m.] e: sal
[28/3/25, 9:30:11 p.m.] ~🦚: Voy
[28/3/25, 9:33:05 p.m.] ~🦚: Donde estas
[28/3/25, 9:33:05 p.m.] ~🦚: Estoy afuera
[28/3/25, 9:33:18 p.m.] e: enfrente de uba casa risa
[28/3/25, 9:33:22 p.m.] e: ve a la izquierda
[29/3/25, 2:08:52 a.m.] ~🦚: ‎Missed voice call, ‎Tap to call back
[29/3/25, 2:10:24 a.m.] ~🦚: ‎This message was deleted.
[29/3/25, 2:55:28 a.m.] e: kiubo
[31/3/25, 2:40:06 p.m.] ~🦚: Hey hey
‎[31/3/25, 2:40:18 p.m.] ~🦚: ‎<attached: 00000529-VIDEO-2025-03-31-14-40-18.mp4>
[31/3/25, 2:40:28 p.m.] ~🦚: O ya no estás en Delicias?
[31/3/25, 3:43:00 p.m.] e: olaa
[31/3/25, 3:43:09 p.m.] e: si me dan ganas pero estoy cansadisimo
[31/3/25, 3:43:15 p.m.] e: deja me echo una siesta y hablanos
[31/3/25, 8:53:04 p.m.] e: wow me acabo de despertar
[31/3/25, 8:53:05 p.m.] e: jajaja
[31/3/25, 8:53:08 p.m.] e: que haces
[31/3/25, 8:59:07 p.m.] ~🦚: Ya estoy en saucillo
[31/3/25, 8:59:13 p.m.] ~🦚: Y no creo que vengas a pistear hasta acá
[11/4/25, 10:11:14 p.m.] ~🦚: ‎Missed voice call, ‎Tap to call back
[12/4/25, 7:28:03 a.m.] e: olaa
[12/4/25, 11:14:36 a.m.] ~🦚: Hola
[12/4/25, 11:14:40 a.m.] ~🦚: Esque andábamos en la 19
